country_iso3,country_name,longitude,latitude,wb_region_code,admin_region_code,lending_type,income_level,capital_city,wb_region_name
IRQ,Iraq,44.394,33.3302,MEA,MNA,IBD,UMC,Baghdad,Middle East & North Africa
ISL,Iceland,-21.8952,64.1353,ECS,,LNX,HIC,Reykjavik,Europe & Central Asia
ISR,Israel,35.2035,31.7717,MEA,,LNX,HIC,,Middle East & North Africa
ITA,Italy,12.4823,41.8955,ECS,,LNX,HIC,Rome,Europe & Central Asia
JAM,Jamaica,-76.792,17.9927,LCN,LAC,IBD,UMC,Kingston,Latin America & Caribbean 
JOR,Jordan,35.9263,31.9497,MEA,MNA,IBD,UMC,Amman,Middle East & North Africa
JPN,Japan,139.77,35.67,EAS,,LNX,HIC,Tokyo,East Asia & Pacific
KAZ,Kazakhstan,71.4382,51.1879,ECS,ECA,IBD,UMC,Astana,Europe & Central Asia
KEN,Kenya,36.8126,-1.27975,SSF,SSA,IDB,LMC,Nairobi,Sub-Saharan Africa 
KGZ,Kyrgyz Republic,74.6057,42.8851,ECS,ECA,IDX,LMC,Bishkek,Europe & Central Asia
KHM,Cambodia,104.874,11.5556,EAS,EAP,IDX,LMC,Phnom Penh,East Asia & Pacific
KIR,Kiribati,172.979,1.32905,EAS,EAP,IDX,LMC,Tarawa,East Asia & Pacific
KNA,St. Kitts and Nevis,-62.7309,17.3,LCN,,IBD,HIC,Basseterre,Latin America & Caribbean 
KOR,"Korea, Rep.",126.957,37.5323,EAS,,LNX,HIC,Seoul,East Asia & Pacific
KWT,Kuwait,47.9824,29.3721,MEA,,LNX,HIC,Kuwait City,Middle East & North Africa
LAO,Lao PDR,102.177,18.5826,EAS,EAP,IDX,LMC,Vientiane,East Asia & Pacific
LBN,Lebanon,35.5134,33.8872,MEA,MNA,IBD,LMC,Beirut,Middle East & North Africa
LBR,Liberia,-10.7957,6.30039,SSF,SSA,IDX,LIC,Monrovia,Sub-Saharan Africa 
LBY,Libya,13.1072,32.8578,MEA,MNA,IBD,UMC,Tripoli,Middle East & North Africa
LCA,St. Lucia,-60.9832,14.0,LCN,LAC,IDB,UMC,Castries,Latin America & Caribbean 
LIE,Liechtenstein,9.52148,47.1411,ECS,,LNX,HIC,Vaduz,Europe & Central Asia
LKA,Sri Lanka,79.8528,6.92148,SAS,SAS,IBD,LMC,Colombo,South Asia
LSO,Lesotho,27.7167,-29.5208,SSF,SSA,IDX,LMC,Maseru,Sub-Saharan Africa 
LTU,Lithuania,25.2799,54.6896,ECS,,LNX,HIC,Vilnius,Europe & Central Asia
LUX,Luxembourg,6.1296,49.61,ECS,,LNX,HIC,Luxembourg,Europe & Central Asia
LVA,Latvia,24.1048,56.9465,ECS,,LNX,HIC,Riga,Europe & Central Asia
MAC,"Macao SAR, China",113.55,22.1667,EAS,,LNX,HIC,,East Asia & Pacific
MAF,St. Martin (French part),,,LCN,,LNX,HIC,Marigot,Latin America & Caribbean 
MAR,Morocco,-6.8704,33.9905,MEA,MNA,IBD,LMC,Rabat,Middle East & North Africa
MCO,Monaco,7.41891,43.7325,ECS,,LNX,HIC,Monaco,Europe & Central Asia
MDA,Moldova,28.8497,47.0167,ECS,ECA,IBD,UMC,Chisinau,Europe & Central Asia
MDG,Madagascar,45.7167,-20.4667,SSF,SSA,IDX,LIC,Antananarivo,Sub-Saharan Africa 
MDV,Maldives,73.5109,4.1742,SAS,SAS,IDX,UMC,Male,South Asia
MEX,Mexico,-99.1276,19.427,LCN,LAC,IBD,UMC,Mexico City,Latin America & Caribbean 
MHL,Marshall Islands,171.135,7.11046,EAS,EAP,IDX,UMC,Majuro,East Asia & Pacific
MKD,North Macedonia,21.4361,42.0024,ECS,ECA,IBD,UMC,Skopje,Europe & Central Asia
MLI,Mali,-7.50034,13.5667,SSF,SSA,IDX,LIC,Bamako,Sub-Saharan Africa 
MLT,Malta,14.5189,35.9042,MEA,,LNX,HIC,Valletta,Middle East & North Africa
MMR,Myanmar,95.9562,21.914,EAS,EAP,IDX,LMC,Naypyidaw,East Asia & Pacific
MNE,Montenegro,19.2595,42.4602,ECS,ECA,IBD,UMC,Podgorica,Europe & Central Asia
MNG,Mongolia,106.937,47.9129,EAS,EAP,IBD,LMC,Ulaanbaatar,East Asia & Pacific
MNP,Northern Mariana Islands,145.765,15.1935,EAS,,LNX,HIC,Saipan,East Asia & Pacific
MOZ,Mozambique,32.5713,-25.9664,SSF,SSA,IDX,LIC,Maputo,Sub-Saharan Africa 
MRT,Mauritania,-15.9824,18.2367,SSF,SSA,IDX,LMC,Nouakchott,Sub-Saharan Africa 
MUS,Mauritius,57.4977,-20.1605,SSF,SSA,IBD,UMC,Port Louis,Sub-Saharan Africa 
MWI,Malawi,33.7703,-13.9899,SSF,SSA,IDX,LIC,Lilongwe,Sub-Saharan Africa 
MYS,Malaysia,101.684,3.12433,EAS,EAP,IBD,UMC,Kuala Lumpur,East Asia & Pacific
NAM,Namibia,17.0931,-22.5648,SSF,SSA,IBD,UMC,Windhoek,Sub-Saharan Africa 
NCL,New Caledonia,166.464,-22.2677,EAS,,LNX,HIC,Noum'ea,East Asia & Pacific
NER,Niger,2.1073,13.514,SSF,SSA,IDX,LIC,Niamey,Sub-Saharan Africa 
NGA,Nigeria,7.48906,9.05804,SSF,SSA,IDB,LMC,Abuja,Sub-Saharan Africa 
NIC,Nicaragua,-86.2734,12.1475,LCN,LAC,IDX,LMC,Managua,Latin America & Caribbean 
NLD,Netherlands,4.89095,52.3738,ECS,,LNX,HIC,Amsterdam,Europe & Central Asia
NOR,Norway,10.7387,59.9138,ECS,,LNX,HIC,Oslo,Europe & Central Asia
NPL,Nepal,85.3157,27.6939,SAS,SAS,IDX,LMC,Kathmandu,South Asia
NRU,Nauru,166.920867,-0.5477,EAS,,IBD,HIC,Yaren District,East Asia & Pacific
NZL,New Zealand,174.776,-41.2865,EAS,,LNX,HIC,Wellington,East Asia & Pacific
OMN,Oman,58.5874,23.6105,MEA,,LNX,HIC,Muscat,Middle East & North Africa
PAK,Pakistan,72.8,30.5167,SAS,SAS,IDB,LMC,Islamabad,South Asia
PAN,Panama,-79.5188,8.99427,LCN,,IBD,HIC,Panama City,Latin America & Caribbean 
PER,Peru,-77.0465,-12.0931,LCN,LAC,IBD,UMC,Lima,Latin America & Caribbean 
PHL,Philippines,121.035,14.5515,EAS,EAP,IBD,LMC,Manila,East Asia & Pacific
PLW,Palau,134.479,7.34194,EAS,EAP,IBD,UMC,Koror,East Asia & Pacific
PNG,Papua New Guinea,147.194,-9.47357,EAS,EAP,IDB,LMC,Port Moresby,East Asia & Pacific
POL,Poland,21.02,52.26,ECS,,IBD,HIC,Warsaw,Europe & Central Asia
PRI,Puerto Rico,-66.0,18.23,LCN,,LNX,HIC,San Juan,Latin America & Caribbean 
PRK,"Korea, Dem. People's Rep.",125.754,39.0319,EAS,EAP,LNX,LIC,Pyongyang,East Asia & Pacific
